Key:	Timestamp:
W	4,033766s
D	4,635319s
W	4,871528s
A	5,095148s
D	5,427376s
W	5,612845s
S	6,220009s
D	6,417042s
W	6,966255s
D	7,373778s
W	7,81026s
A	8,030343s
D	8,252503s
S	8,401518s
Q	8,62417s
W	8,876137s
D	8,879211s
A	9,298561s
D	10,56362s
W	10,57969s
W	11,22004s
W	11,25203s
W	11,28504s
W	11,31863s
W	11,35191s
W	11,38436s
W	11,83481s
D	12,18795s
D	12,80454s
W	13,1964s
A	13,90506s
A	15,78565s
S	15,87359s
D	16,59358s
W	16,86614s
W	17,64704s
W	18,14486s
W	18,17861s
W	18,21163s
W	18,24604s
W	18,27692s
W	18,3105s
W	18,34365s
W	18,37794s
W	18,40945s
D	18,79651s
D	19,29641s
D	19,32937s
D	19,36538s
D	19,39512s
D	19,43011s
D	19,46268s
D	19,49573s
D	19,52789s
D	19,56019s
D	19,59411s
D	19,6279s
D	19,66027s
W	19,99658s
Space	20,09889s
D	20,87312s
Space	20,94031s
Space	21,92694s
D	22,01915s
A	23,00118s
Space	23,1855s
W	24,18408s
Space	24,34442s
D	24,56218s
A	25,09471s
Space	25,16308s
Space	25,45378s
Space	25,87632s
D	26,10301s
Space	26,86075s
D	27,18319s
Space	27,86597s
Space	28,54199s
Escape	29,8217s

