Key:	Timestamp:
Q	0,749028s
W	1,125198s
W	1,625879s
W	1,657598s
W	1,69083s
W	1,723603s
W	1,7574s
D	1,788372s
A	2,007997s
S	2,149095s
A	2,678473s
S	2,740936s
D	2,872094s
A	3,039068s
S	3,068153s
D	3,222422s
W	3,357028s
A	3,510352s
S	3,832364s
D	4,051917s
W	4,32365s
S	4,740038s
A	4,892646s
D	5,054788s
W	5,518539s
A	5,823472s
S	5,988388s
D	6,106027s
W	6,307157s
A	6,449717s
D	8,608921s
S	8,650561s
S	10,15749s
S	11,04886s
S	11,55428s
S	12,2843s
S	12,88862s
D	12,98327s
D	13,33577s
D	13,78962s
D	14,28895s
D	14,32216s
D	14,35477s
D	14,38896s
D	14,42103s
D	14,45409s
D	14,48712s
D	14,52005s
D	14,55406s
D	14,58637s
A	14,80461s
W	15,08688s
D	15,23469s
Space	15,38203s
A	15,61748s
S	15,9809s
D	16,05988s
W	16,22563s
S	16,48603s
A	16,5864s
W	16,77135s
A	16,87321s
D	16,98206s
S	17,58464s
A	17,79908s
D	17,86196s
W	18,04614s
A	18,2264s
D	18,47989s
Escape	19,0209s

